"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","228","0 Lucknow Road, Banarsi Das Estate, Timarpur, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1451,926,2271
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","229","200 Road Number 28, Nehru Nagar, Shivaji Place, Basai Dara pur, Tagore Garden Extension, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1692,1017,2813
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","230","N494, Block N, Raghubir Nagar, Tagore Garden Extension, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2623,1778,3867
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","231","G-17/6, Block G, Rajouri Garden, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1662,1029,2684
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","232","4-3, Mayapuri Industrial Area Phase II, Mayapuri, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2276,1596,3244
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","233","nullSatguru Ram Singh Marg, Block B, Mayapuri Industrial Area Phase I, Mayapuri, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2027,1329,3090
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","234","113, Press Colony, Press Colony, Mayapuri, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1993,1283,3095
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","235","nullBharat Vihar Road, Block G, Raja Puri, Matiala, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",3046,2190,4236
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","236","nullRithala Road, Pocket A, Budh Vihar Phase I, Budh Vihar, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2871,1893,4353
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","237","121, Assam Timber Market, Gulshan Park, Mundka, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2900,1788,4701
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","238","Ekta Marg, Sewak Park, Mubarakpur Dabas, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",3956,2621,5970
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","239","nullSultanpuri, सुल्तानपुरी, Block E 4, Ratan Vihar, Sultanpuri, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",3247,2147,4908
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","240","37, Sector 15, Pocket 6, Sector 15B, Rohini, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2830,1946,4113
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","241","Foot Road, Libas Pur Village, Siraspur, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",3057,2212,4224
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","242","nullGali Number 2, Jagjeet Nagar, Shahdara, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1569,997,2468
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","243","Unnamed Road, Block B, Chanchal Park Colony, Dichaon Kalan, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",3932,2680,5768
